Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,2,10,0.2258617669336788,0.8666,9.948096885813149,1.2182184966824683,0.012574402019751877,0.002746069177189089,0.13005877207625688,0.048440184166107424,nan,nan,nan,nan,nan,nan,15.056796626549614,
distributed,0,2,20,0.2239614286315565,0.8699,19.94736842105263,4.242640687119285,0.013694207800045044,0.001657723324682714,0.13946244643489827,0.06321796999029825,nan,nan,nan,nan,nan,nan,15.114367800892351,
distributed,0,2,30,0.2235939637838381,0.875,29.93348623853211,7.124432905485592,0.01305595811102679,0.0021827995543106213,0.11116424782944127,0.058693768559079276,nan,nan,nan,nan,nan,nan,14.955414038664657,
distributed,0,2,50,0.22373848262261378,0.8709,49.61453744493392,13.832570260078205,0.01322418858546324,0.0009461501734820073,0.14718042767942605,0.062000562599949495,nan,nan,nan,nan,nan,nan,14.877920532169084,
distributed,0,2,70,0.22373848262261378,0.8709,68.65143464399574,19.268166031623824,0.012918157075609832,0.0013303587519935122,0.167749022028702,0.0429663487486387,nan,nan,nan,nan,nan,nan,14.959569044701501,
distributed,0,2,100,0.22294240187702755,0.874,97.86711930164888,32.042831578303996,0.012312002526277796,0.002697028027317621,0.12948645213218027,0.04316989404598177,nan,nan,nan,nan,nan,nan,15.085322438088353,
distributed,0,3,-1,0.23729160901080382,0.8544,4.1309904153354635,1.2853176737644858,0.013217090031743749,0.004281784343688918,0.1294114928585872,0.05697328236428562,25.89435782651862,3.07292954123389,2.7509406460603962,0.4013375583483285,1.7652975413162448,0.3920437254851833,15.1682085260591,
distributed,0,3,1,0.24501330214055234,0.8449,1.0,0.0,0.011933191749813972,0.007145969747926747,0.12536499317910496,0.05216872957818987,nan,nan,nan,nan,nan,nan,14.965502157252168,
distributed,0,3,2,0.2367762400333628,0.8532,1.9896907216494846,0.14139190265868384,0.012734820179000116,0.004673016993242479,0.12817503912208994,0.05306802179966694,nan,nan,nan,nan,nan,nan,15.04376714425414,
distributed,0,3,3,0.23561962073199755,0.8544,2.9847908745247147,0.296424852994897,0.013041376413079633,0.0037585236695691624,0.13042842065499635,0.05499379364365306,nan,nan,nan,nan,nan,nan,15.079358931087214,
distributed,0,3,5,0.23745643606080175,0.8545,4.973544973544974,0.5625040994209796,0.013646638859658743,0.0032472197524351944,0.12918345434584105,0.059872087144968396,nan,nan,nan,nan,nan,nan,15.067465957313908,
distributed,0,3,7,0.24029217621184648,0.8515,6.975257731958763,0.9927329682651321,0.013040441702037333,0.0023389244291295978,0.12414198618866314,0.04837191506770268,nan,nan,nan,nan,nan,nan,15.116985703583012,
distributed,0,3,10,0.24684515493181933,0.8448,9.969072164948454,1.6155494421403511,0.012930225396761606,0.0029411904624474807,0.12381756713582667,0.04927366769519155,nan,nan,nan,nan,nan,nan,14.990401864815857,
distributed,0,3,20,0.2666628843773603,0.8228,19.925575101488498,3.0495674276600075,0.01339305611470216,0.0021057233411541647,0.1374217644931491,0.05169098466876297,nan,nan,nan,nan,nan,nan,15.034604488614452,
distributed,0,3,30,0.27747660107549865,0.813,29.762456546929318,5.352154291082756,0.012923348261930208,0.0011693802328895137,0.12688788566982145,0.05913492135296364,nan,nan,nan,nan,nan,nan,15.059504002581383,
distributed,0,3,50,0.2930324865492516,0.8,49.891352549889135,14.7,0.01365581883448353,0.0012028457221877546,0.14029260486278744,0.05563138144903698,nan,nan,nan,nan,nan,nan,14.925858866149198,
distributed,0,3,70,0.3010221180024213,0.7921,68.798828125,17.524982168321884,0.012952564650190216,0.0006541515848997409,0.12024426026672999,0.04046246741250934,nan,nan,nan,nan,nan,nan,15.145944823150572,
distributed,0,3,100,0.3042275498913983,0.7891,98.64763779527559,34.405264455054294,0.013448392487682828,0.0009515398519783023,0.12373290107226705,0.04276198032161128,nan,nan,nan,nan,nan,nan,14.872117791139322,
distributed,1,0,-1,0.22321291469754492,0.8731,34.59842519685039,15.285287043428394,0.013296087679641614,0.0016082381584864797,0.15111551164153253,0.06266646308913476,7.295865318634499,3.370191128177028,0.5422195341103332,0.07490407603693182,0.17695903334468893,0.1445697489321476,14.742106795292528,
distributed,1,0,1,0.24755769464564478,0.8432,1.0,0.0,0.012694471042112278,0.006536317727941543,0.14198295762560534,0.05050942826002916,nan,nan,nan,nan,nan,nan,15.158388009436328,
distributed,1,0,2,0.23435317257008728,0.8557,1.9891304347826086,0.14506169422830154,0.01355850294315425,0.004699996777195886,0.13643458318422333,0.05482034298376596,nan,nan,nan,nan,nan,nan,15.176401397606288,
distributed,1,0,3,0.2304029536338419,0.8613,2.9840637450199203,0.30315526415823824,0.012986102747112097,0.004155640595755737,0.13745563739555866,0.0605914527280147,nan,nan,nan,nan,nan,nan,14.982809120980697,
distributed,1,0,5,0.22650701714621196,0.8673,4.973958333333333,0.5004928537421317,0.012850363594409369,0.0030654077816569545,0.1299946266344678,0.05058400055727581,nan,nan,nan,nan,nan,nan,15.08366029763828,
